timestamp,step,nodes,edges,paths,taught_nodes,thought_nodes,rel_exact,rel_temporal,rel_leap,avg_weight_bits,max_weight_bits,avg_path_len,max_path_len,edge_rate,e2n_ratio,attn_entropy,diversity,top2_margin,health,latency_ms,fanout,profile,dataset
1759702021.110,1,1212,2133,152,1,8,10,6,4,.50,.5,.12,2.4,0,1.75,.08,.45,.20,60.4,13,5,Balanced,commonsense_qa
1759702021.323,2,1236,2150,154,2,15,20,14,8,.50,.5,.23,2.4,2.50,1.73,.08,.45,.20,60.4,11,5,Balanced,commonsense_qa
1759702022.230,3,1243,2168,158,10,19,29,22,13,.50,.5,.33,2.4,2.26,1.74,.08,.45,.20,60.4,12,5,Balanced,commonsense_qa
1759702022.589,4,1252,2190,158,12,27,37,28,18,.50,.5,.43,2.4,2.25,1.74,.08,.45,.20,60.4,12,6,Balanced,commonsense_qa
1759702022.672,5,1265,2203,162,13,32,45,36,22,.50,.5,.52,2.4,2.06,1.74,.08,.45,.20,60.4,11,5,Balanced,commonsense_qa
1759702022.437,6,1280,2227,165,24,34,54,42,26,.50,.5,.61,2.4,2.11,1.73,.08,.45,.20,60.4,12,7,Balanced,commonsense_qa
1759702022.566,7,1292,2253,164,26,42,60,45,34,.50,.5,.69,2.4,2.18,1.74,.08,.45,.20,60.4,12,7,Balanced,commonsense_qa
1759702022.576,8,1305,2273,168,27,47,70,54,39,.50,.5,.77,2.4,2.16,1.74,.08,.45,.20,60.4,12,5,Balanced,commonsense_qa
1759702022.989,9,1317,2294,171,36,50,80,63,43,.50,.5,.85,2.4,2.15,1.74,.08,.45,.20,60.4,10,5,Balanced,commonsense_qa
1759702022.168,10,1321,2303,171,37,58,86,82,45,.50,.5,.92,2.4,2.03,1.74,.08,.45,.20,60.4,10,7,Balanced,commonsense_qa
1759702023.079,11,1344,2337,172,38,63,95,90,50,.50,.5,.99,2.4,2.15,1.73,.08,.45,.20,60.4,12,7,Balanced,commonsense_qa
1759702023.244,12,1346,2351,175,48,67,103,98,55,.50,.5,1.06,2.4,2.09,1.74,.08,.45,.20,60.4,13,5,Balanced,commonsense_qa
1759702023.156,13,1359,2372,176,50,72,112,104,60,.50,.5,1.12,2.4,2.09,1.74,.08,.45,.20,60.4,10,6,Balanced,commonsense_qa
1759702023.666,14,1374,2381,180,52,79,116,107,72,.50,.5,1.18,2.4,2.00,1.73,.08,.45,.20,60.4,13,6,Balanced,commonsense_qa
1759702023.294,15,1416,2453,191,64,82,125,126,76,.50,.5,1.24,2.4,2.02,1.73,.08,.45,.20,63.4,11,5,Balanced,commonsense_qa
1759702023.753,16,1396,2431,185,66,90,133,134,80,.50,.5,1.29,2.4,2.06,1.74,.08,.45,.20,60.4,11,7,Balanced,commonsense_qa
1759702023.595,17,1416,2460,184,67,97,141,140,84,.50,.5,1.34,2.4,2.11,1.73,.08,.45,.20,60.4,13,5,Balanced,commonsense_qa
1759702023.864,18,1427,2477,187,76,101,149,146,88,.50,.5,1.39,2.4,2.09,1.73,.08,.45,.20,60.4,13,5,Balanced,commonsense_qa
1759702024.099,19,1431,2487,190,78,109,157,153,93,.50,.5,1.44,2.4,2.03,1.73,.08,.45,.20,60.4,11,6,Balanced,commonsense_qa
1759702024.732,20,1452,2515,192,80,115,164,170,95,.50,.5,1.48,2.4,2.07,1.73,.08,.45,.20,60.4,10,6,Balanced,commonsense_qa
1759702024.395,21,1456,2520,195,90,119,169,174,105,.50,.5,1.52,2.4,2.00,1.73,.08,.45,.20,60.4,12,7,Balanced,commonsense_qa
1759702024.446,22,1475,2558,195,91,125,177,181,109,.50,.5,1.56,2.4,2.08,1.73,.08,.45,.20,60.4,11,6,Balanced,commonsense_qa
1759702024.882,23,1485,2576,196,93,130,185,187,112,.50,.5,1.60,2.4,2.06,1.73,.08,.45,.20,60.4,13,6,Balanced,commonsense_qa
1759702024.197,24,1496,2599,200,103,134,193,195,116,.50,.5,1.64,2.4,2.07,1.73,.08,.45,.20,60.4,10,5,Balanced,commonsense_qa
1759702024.104,25,1507,2610,200,105,140,201,203,120,.50,.5,1.67,2.4,2.04,1.73,.18,.40,.20,60.4,12,5,Balanced,commonsense_qa
1759702024.228,26,1522,2621,204,107,145,209,211,124,.50,.5,1.70,2.4,2.00,1.72,.08,.45,.20,60.4,11,6,Balanced,commonsense_qa
1759702025.233,27,1524,2652,207,119,149,217,220,127,.50,.5,1.73,2.4,2.04,1.74,.08,.45,.20,60.4,11,6,Balanced,commonsense_qa
1759702025.768,28,1541,2675,207,121,154,223,224,139,.50,.5,1.76,2.4,2.05,1.73,.08,.45,.20,60.4,12,7,Balanced,commonsense_qa
1759702025.625,29,1550,2700,209,123,161,231,233,144,.50,.5,1.79,2.4,2.06,1.74,.08,.45,.20,60.4,11,5,Balanced,commonsense_qa
1759702025.848,30,1594,2771,218,131,163,236,266,147,.50,.5,1.82,2.4,2.07,1.73,.08,.45,.20,63.4,10,6,Balanced,commonsense_qa
1759702025.282,31,1574,2726,213,133,170,245,275,152,.50,.5,1.84,2.4,2.01,1.73,.08,.45,.20,60.4,13,5,Balanced,commonsense_qa
1759702025.922,32,1590,2755,214,135,177,254,282,157,.50,.5,1.86,2.4,2.04,1.73,.08,.45,.20,60.4,12,7,Balanced,commonsense_qa
1759702025.717,33,1600,2765,219,146,181,263,288,161,.50,.5,1.88,2.4,2.01,1.72,.08,.45,.20,60.4,10,6,Balanced,commonsense_qa
1759702025.457,34,1610,2802,218,147,188,272,294,165,.50,.5,1.90,2.4,2.06,1.74,.08,.45,.20,60.4,11,7,Balanced,commonsense_qa
1759702025.075,35,1623,2803,222,148,195,278,298,173,.50,.5,1.92,2.4,2.00,1.72,.08,.45,.20,60.4,10,7,Balanced,commonsense_qa
1759702026.170,36,1634,2838,224,159,198,288,305,177,.50,.5,1.94,2.4,2.05,1.73,.08,.45,.20,60.4,11,6,Balanced,commonsense_qa
1759702026.143,37,1644,2848,227,160,205,298,314,181,.50,.5,1.96,2.4,2.02,1.73,.08,.45,.20,60.4,11,7,Balanced,commonsense_qa
1759702026.833,38,1668,2880,226,162,212,307,322,184,.50,.5,1.98,2.4,2.05,1.72,.08,.45,.20,60.4,12,6,Balanced,commonsense_qa
1759702026.990,39,1671,2896,230,170,214,316,328,187,.50,.5,2.00,2.4,2.04,1.73,.08,.45,.20,60.4,11,7,Balanced,commonsense_qa
1759702026.306,40,1682,2906,232,172,222,321,349,190,.50,.5,2.02,2.4,2.01,1.72,.08,.45,.20,60.4,12,7,Balanced,commonsense_qa
1759702026.213,41,1702,2942,232,173,227,330,356,194,.50,.5,2.03,2.4,2.05,1.72,.08,.45,.20,60.4,10,7,Balanced,commonsense_qa
1759702026.211,42,1705,2945,237,183,229,335,359,203,.50,.5,2.04,2.4,2.01,1.72,.08,.45,.20,60.4,12,7,Balanced,commonsense_qa
1759702026.622,43,1722,2962,237,184,234,344,365,206,.50,.5,2.05,2.4,2.00,1.72,.08,.45,.20,60.4,13,6,Balanced,commonsense_qa
1759702027.004,44,1732,2983,241,185,239,353,373,210,.50,.5,2.06,2.4,2.00,1.72,.08,.45,.20,60.4,10,5,Balanced,commonsense_qa
1759702027.507,45,1771,3073,248,197,243,361,391,213,.50,.5,2.07,2.4,2.05,1.73,.08,.45,.20,63.4,10,7,Balanced,commonsense_qa
1759702027.479,46,1757,3042,245,199,251,370,398,217,.50,.5,2.08,2.4,2.04,1.73,.08,.45,.20,60.4,13,5,Balanced,commonsense_qa
1759702027.640,47,1770,3054,244,201,256,380,405,222,.50,.5,2.09,2.4,2.02,1.72,.08,.45,.20,60.4,13,5,Balanced,commonsense_qa
1759702027.865,48,1790,3071,248,213,258,389,411,226,.50,.5,2.10,2.4,2.02,1.71,.08,.45,.20,60.4,10,6,Balanced,commonsense_qa
1759702027.745,49,1797,3086,250,215,263,394,415,238,.50,.5,2.11,2.4,2.01,1.71,.08,.45,.20,60.4,11,7,Balanced,commonsense_qa
1759702027.538,50,1801,3116,250,216,269,399,430,241,.50,.5,2.12,2.4,2.03,1.73,.18,.40,.20,60.4,13,7,Balanced,commonsense_qa
1759702027.787,51,1820,3124,252,224,273,407,437,246,.50,.5,2.13,2.4,2.00,1.71,.08,.45,.20,60.4,13,6,Balanced,commonsense_qa
1759702028.196,52,1834,3154,254,226,281,416,443,251,.50,.5,2.14,2.4,2.02,1.71,.08,.45,.20,60.4,11,5,Balanced,commonsense_qa
1759702028.548,53,1839,3183,256,227,288,426,451,255,.50,.5,2.15,2.4,2.04,1.73,.08,.45,.20,60.4,12,6,Balanced,commonsense_qa
1759702028.900,54,1856,3202,259,238,291,436,457,259,.50,.5,2.16,2.4,2.04,1.72,.08,.45,.20,60.4,11,6,Balanced,commonsense_qa
1759702028.043,55,1872,3204,260,239,298,446,465,263,.50,.5,2.17,2.4,2.00,1.71,.08,.45,.20,60.4,10,5,Balanced,commonsense_qa
1759702028.459,56,1872,3242,265,240,304,452,469,274,.50,.5,2.18,2.4,2.03,1.73,.08,.45,.20,60.4,12,7,Balanced,commonsense_qa
1759702028.834,57,1898,3253,265,250,306,461,477,278,.50,.5,2.19,2.4,2.02,1.71,.08,.45,.20,60.4,13,5,Balanced,commonsense_qa
1759702028.376,58,1904,3283,269,251,311,470,483,283,.50,.5,2.20,2.4,2.03,1.72,.08,.45,.20,60.4,13,7,Balanced,commonsense_qa
1759702028.893,59,1920,3289,269,252,318,480,490,286,.50,.5,2.21,2.4,2.01,1.71,.08,.45,.20,60.4,10,7,Balanced,commonsense_qa
1759702029.897,60,1963,3371,278,260,320,487,519,289,.50,.5,2.21,2.4,2.03,1.71,.08,.45,.20,63.4,10,6,Balanced,commonsense_qa
1759702029.914,61,1934,3321,273,262,325,496,528,294,.50,.5,2.21,2.4,2.00,1.71,.08,.45,.20,60.4,11,6,Balanced,commonsense_qa
1759702029.776,62,1952,3350,277,264,332,504,537,298,.50,.5,2.21,2.4,2.01,1.71,.08,.45,.20,60.4,13,7,Balanced,commonsense_qa
1759702029.409,63,1962,3372,276,275,336,510,541,307,.50,.5,2.21,2.4,2.01,1.71,.08,.45,.20,60.4,10,6,Balanced,commonsense_qa
1759702029.592,64,1968,3395,278,277,341,520,549,310,.50,.5,2.21,2.4,2.02,1.72,.08,.45,.20,60.4,13,5,Balanced,commonsense_qa
1759702029.996,65,1983,3415,282,279,349,529,557,313,.50,.5,2.21,2.4,2.02,1.72,.08,.45,.20,60.4,13,5,Balanced,commonsense_qa
1759702029.073,66,1999,3442,285,290,353,537,565,318,.50,.5,2.21,2.4,2.03,1.72,.08,.45,.20,60.4,11,7,Balanced,commonsense_qa
1759702029.586,67,2012,3451,285,291,359,547,574,322,.50,.5,2.21,2.4,2.01,1.71,.08,.45,.20,60.4,11,5,Balanced,commonsense_qa
1759702029.249,68,2029,3463,287,292,365,555,583,327,.50,.5,2.21,2.4,2.00,1.70,.08,.45,.20,60.4,10,5,Balanced,commonsense_qa
1759702030.995,69,2036,3501,291,304,368,565,589,332,.50,.5,2.21,2.4,2.03,1.71,.08,.45,.20,60.4,12,7,Balanced,commonsense_qa
1759702030.549,70,2051,3508,290,305,374,570,611,334,.50,.5,2.21,2.4,2.01,1.71,.08,.45,.20,60.4,11,7,Balanced,commonsense_qa
1759702030.696,71,2066,3536,292,306,381,578,618,338,.50,.5,2.21,2.4,2.02,1.71,.08,.45,.20,60.4,11,5,Balanced,commonsense_qa
1759702030.136,72,2078,3540,294,314,385,586,626,341,.50,.5,2.21,2.4,2.00,1.70,.08,.45,.20,60.4,13,6,Balanced,commonsense_qa
1759702030.918,73,2088,3579,297,315,390,596,635,345,.50,.5,2.21,2.4,2.02,1.71,.08,.45,.20,60.4,12,6,Balanced,commonsense_qa
1759702030.566,74,2101,3603,300,317,395,605,644,348,.50,.5,2.21,2.4,2.03,1.71,.08,.45,.20,60.4,10,7,Balanced,commonsense_qa
1759702030.361,75,2134,3661,309,328,397,613,661,352,.50,.5,2.21,2.4,2.01,1.71,.18,.40,.20,63.4,11,5,Balanced,commonsense_qa
1759702030.092,76,2126,3630,305,330,405,623,670,355,.50,.5,2.21,2.4,2.01,1.70,.08,.45,.20,60.4,10,7,Balanced,commonsense_qa
1759702031.143,77,2128,3647,304,332,410,628,674,364,.50,.5,2.21,2.4,2.00,1.71,.08,.45,.20,60.4,11,5,Balanced,commonsense_qa
1759702031.654,78,2144,3682,307,340,413,638,682,369,.50,.5,2.21,2.4,2.02,1.71,.08,.45,.20,60.4,12,6,Balanced,commonsense_qa
1759702031.695,79,2154,3700,309,342,421,647,690,372,.50,.5,2.21,2.4,2.02,1.71,.08,.45,.20,60.4,12,7,Balanced,commonsense_qa
1759702031.457,80,2173,3721,312,343,427,653,710,375,.50,.5,2.21,2.4,2.02,1.71,.08,.45,.20,60.4,13,6,Balanced,commonsense_qa
1759702031.718,81,2176,3728,313,355,429,661,717,379,.50,.5,2.21,2.4,2.00,1.71,.08,.45,.20,60.4,12,6,Balanced,commonsense_qa
1759702031.103,82,2186,3747,315,356,437,671,724,382,.50,.5,2.21,2.4,2.00,1.71,.08,.45,.20,60.4,13,6,Balanced,commonsense_qa
1759702031.048,83,2200,3784,316,358,443,680,730,386,.50,.5,2.21,2.4,2.02,1.72,.08,.45,.20,60.4,13,6,Balanced,commonsense_qa
1759702031.899,84,2222,3800,318,369,445,685,733,396,.50,.5,2.21,2.4,2.02,1.71,.08,.45,.20,60.4,12,6,Balanced,commonsense_qa
1759702032.499,85,2223,3822,320,371,450,694,739,399,.50,.5,2.21,2.4,2.02,1.71,.08,.45,.20,60.4,10,7,Balanced,commonsense_qa
1759702032.250,86,2238,3821,325,373,458,703,748,404,.50,.5,2.21,2.4,2.00,1.70,.08,.45,.20,60.4,10,6,Balanced,commonsense_qa
1759702032.714,87,2252,3853,324,382,462,713,756,408,.50,.5,2.21,2.4,2.01,1.71,.08,.45,.20,60.4,13,5,Balanced,commonsense_qa
1759702032.105,88,2270,3878,328,384,467,723,763,411,.50,.5,2.21,2.4,2.02,1.70,.08,.45,.20,60.4,10,6,Balanced,commonsense_qa
1759702032.989,89,2277,3883,329,386,475,731,769,416,.50,.5,2.21,2.4,2.00,1.70,.08,.45,.20,60.4,11,6,Balanced,commonsense_qa
1759702032.120,90,2317,3973,339,395,478,738,801,418,.50,.5,2.21,2.4,2.02,1.71,.08,.45,.20,63.4,11,5,Balanced,commonsense_qa
1759702032.111,91,2293,3924,335,396,484,742,804,427,.50,.5,2.21,2.4,2.00,1.71,.08,.45,.20,60.4,11,6,Balanced,commonsense_qa
1759702032.590,92,2305,3940,334,397,491,751,811,430,.50,.5,2.21,2.4,2.00,1.70,.08,.45,.20,60.4,12,7,Balanced,commonsense_qa
1759702033.879,93,2325,3977,337,406,494,759,819,434,.50,.5,2.21,2.4,2.01,1.71,.08,.45,.20,60.4,10,7,Balanced,commonsense_qa
1759702033.026,94,2330,3993,339,408,499,767,826,437,.50,.5,2.21,2.4,2.01,1.71,.08,.45,.20,60.4,12,5,Balanced,commonsense_qa
1759702033.267,95,2342,4004,343,410,504,775,833,441,.50,.5,2.21,2.4,2.00,1.70,.08,.45,.20,60.4,12,7,Balanced,commonsense_qa
1759702033.910,96,2356,4033,343,418,506,784,842,446,.50,.5,2.21,2.4,2.01,1.71,.08,.45,.20,60.4,10,7,Balanced,commonsense_qa
1759702033.849,97,2373,4046,344,420,513,794,848,450,.50,.5,2.21,2.4,2.00,1.70,.08,.45,.20,60.4,10,5,Balanced,commonsense_qa
1759702033.377,98,2383,4081,348,421,519,798,852,458,.50,.5,2.21,2.4,2.02,1.71,.08,.45,.20,60.4,11,7,Balanced,commonsense_qa
1759702033.610,99,2402,4087,351,430,521,807,859,461,.50,.5,2.21,2.4,2.00,1.70,.08,.45,.20,60.4,10,5,Balanced,commonsense_qa
1759702034.205,100,2401,4124,352,431,528,813,878,464,.50,.5,2.21,2.4,2.02,1.71,.18,.40,.20,60.4,13,6,Balanced,commonsense_qa
